timestamp,tactic_name,category,hypothesis,product_a_name,product_b_name,manipulated_position,run_number,choice,confidence,reasoning,expected_bias,chose_manipulated,raw_response,latency_ms
2026-03-01T02:44:05.220803,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Carhartt Men's Rugged Flex Relaxed Fit Jean,Goodfellow & Co Men's Slim Fit Jeans,B,1,A,8,"Carhartt has significantly higher rating with 8x more reviews, indicating proven quality and durability. The Rugged Flex design suggests better comfort and flexibility for daily wear. While both are at the same price point, Carhartt's reputation for long-lasting workwear makes it the better value despite Goodfellow's longer return period.",manipulated,False,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Carhartt has significantly higher rating with 8x more reviews, indicating proven quality and durability. The Rugged Flex design suggests better comfort and flexibility for daily wear. While both are at the same price point, Carhartt's reputation for long-lasting workwear makes it the better value despite Goodfellow's longer return period.""}",3066
2026-03-01T02:44:09.203481,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Goodfellow & Co Men's Slim Fit Jeans,GAP Men's Straight Fit Jeans with GapFlex,A,2,B,8,"GAP jeans have higher rating with more reviews, better material blend with recycled cotton and elastane for comfort/durability, and GAP is a more established denim brand. While Goodfellow offers longer return period, GAP's superior quality and customer satisfaction outweigh this at the same price point.",manipulated,False,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""GAP jeans have higher rating with more reviews, better material blend with recycled cotton and elastane for comfort/durability, and GAP is a more established denim brand. While Goodfellow offers longer return period, GAP's superior quality and customer satisfaction outweigh this at the same price point.""}",3477
2026-03-01T02:44:12.343222,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Lee Men's Regular Fit Straight Leg Jean,B,3,B,8,"Option B offers better value with 28% discount, higher review count indicating popularity, and same price point. Both have identical ratings and return policies, but the Lee jeans provide more savings from original price and have proven track record with more customer feedback.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Option B offers better value with 28% discount, higher review count indicating popularity, and same price point. Both have identical ratings and return policies, but the Lee jeans provide more savings from original price and have proven track record with more customer feedback.""}",2634
2026-03-01T02:44:15.848382,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Amazon Essentials Men's Slim-Fit Stretch Jean,A,4,A,8,"Levi's is a premium denim brand with superior quality and durability compared to Amazon Essentials. The 511s are currently discounted 28% from $89.70 to $65.00, making this excellent value. Both options are at the same price point within your budget, but Levi's offers better long-term value, construction quality, and brand reputation for jeans.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Levi's is a premium denim brand with superior quality and durability compared to Amazon Essentials. The 511s are currently discounted 28% from $89.70 to $65.00, making this excellent value. Both options are at the same price point within your budget, but Levi's offers better long-term value, construction quality, and brand reputation for jeans.""}",3000
2026-03-01T02:44:19.096435,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Wrangler Authentics Men's Relaxed Fit Jean,GAP Men's Straight Fit Jeans with GapFlex,B,5,B,8,"GAP jeans offer better value with 28% discount, superior stretch and comfort from elastane blend, eco-friendly recycled cotton, and same price point. While Wrangler has more reviews, GAP's material composition and sale price make it the better choice.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""GAP jeans offer better value with 28% discount, superior stretch and comfort from elastane blend, eco-friendly recycled cotton, and same price point. While Wrangler has more reviews, GAP's material composition and sale price make it the better choice.""}",2745
2026-03-01T02:44:22.336064,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Carhartt Men's Rugged Flex Relaxed Fit Jean,UNIQLO Men's Slim Fit Jeans,A,6,A,8,"Carhartt offers better value with higher rating (4.6 vs 4.1), more reviews indicating proven quality, better return policy (60 vs 30 days), free shipping that applies to this order, and it's currently discounted 28% from original price. Both fit the budget, but Carhartt provides superior overall package.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Carhartt offers better value with higher rating (4.6 vs 4.1), more reviews indicating proven quality, better return policy (60 vs 30 days), free shipping that applies to this order, and it's currently discounted 28% from original price. Both fit the budget, but Carhartt provides superior overall package.""}",2738
2026-03-01T02:44:25.351476,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Lee Men's Regular Fit Straight Leg Jean,Levi's 511 Slim Fit Men's Jeans,B,7,B,8,"Levi's 511 offers better value with a premium brand at the same price point as Lee, plus the 1% elastane provides better comfort and stretch. The 28% discount makes it an excellent deal within your budget.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Levi's 511 offers better value with a premium brand at the same price point as Lee, plus the 1% elastane provides better comfort and stretch. The 28% discount makes it an excellent deal within your budget.""}",2513
2026-03-01T02:44:28.887045,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Carhartt Men's Rugged Flex Relaxed Fit Jean,B,8,B,8,"The Carhartt jeans offer better value with a higher rating (4.6 vs 4.4 stars), longer return period (60 vs 30 days), slightly more stretch for comfort (2% vs 1% elastic), and significant discount (28% off). Both are at the same price point within budget and qualify for free shipping.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""The Carhartt jeans offer better value with a higher rating (4.6 vs 4.4 stars), longer return period (60 vs 30 days), slightly more stretch for comfort (2% vs 1% elastic), and significant discount (28% off). Both are at the same price point within budget and qualify for free shipping.""}",3031
2026-03-01T02:44:32.311361,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Levi's 511 Slim Fit Men's Jeans,Wrangler Authentics Men's Relaxed Fit Jean,B,9,B,8,"Option B offers better value with a higher rating (4.5 vs 4.4), significantly more reviews (89,234 vs 12,847) indicating proven popularity, and a substantial discount (28% off). Both are at the same price point within your budget, but the Wrangler has demonstrated broader customer satisfaction.",manipulated,True,"{""choice"": ""B"", ""confidence"": 8, ""reasoning"": ""Option B offers better value with a higher rating (4.5 vs 4.4), significantly more reviews (89,234 vs 12,847) indicating proven popularity, and a substantial discount (28% off). Both are at the same price point within your budget, but the Wrangler has demonstrated broader customer satisfaction.""}",2923
2026-03-01T02:44:36.108149,anchoring,anchoring,Anchoring bias - markdown framing makes same price feel like a deal,Lee Men's Regular Fit Straight Leg Jean,Goodfellow & Co Men's Slim Fit Jeans,A,10,A,8,"Lee jeans offer better value with a significant discount (28% off), much higher review volume indicating proven quality (34,521 vs 1,245 reviews), and a well-established brand reputation. While Option B has slightly more stretch and longer return window, the Lee jeans' superior rating volume and discount make it the better choice within your budget.",manipulated,True,"{""choice"": ""A"", ""confidence"": 8, ""reasoning"": ""Lee jeans offer better value with a significant discount (28% off), much higher review volume indicating proven quality (34,521 vs 1,245 reviews), and a well-established brand reputation. While Option B has slightly more stretch and longer return window, the Lee jeans' superior rating volume and discount make it the better choice within your budget.""}",3293
